version,case,iteration,elapsed,rss,private,pagefile,handles,threads
3.6.5,native-factor1,875,72.04700000000003,48558080,164061184,164061184,176,4
3.6.5,native-factor1,900,74.0150000000001,48558080,164061184,164061184,176,4
3.6.5,native-factor1,925,76.0150000000001,48558080,164061184,164061184,176,4
3.6.5,native-factor1,950,78.0,48558080,164061184,164061184,176,4
3.6.5,native-factor1,975,80.0150000000001,48558080,164061184,164061184,176,4
3.6.5,native-factor1,1000,82.06200000000013,48558080,164061184,164061184,176,4
3.7.2,native-factor1,0,0,39530496,26189824,26189824,177,4
3.7.2,native-factor1,1,0.36000000000001364,47034368,162361344,162361344,177,4
3.7.2,native-factor1,25,3.625,47140864,162361344,162361344,177,4
3.7.2,native-factor1,50,7.0470000000000255,47140864,162361344,162361344,177,4
3.7.2,native-factor1,75,10.453000000000031,47149056,162361344,162361344,177,4
3.7.2,native-factor1,100,13.89100000000002,47149056,162361344,162361344,177,4
3.7.2,native-factor1,125,17.297000000000025,47149056,162361344,162361344,177,4
3.7.2,native-factor1,150,20.735000000000014,47214592,162361344,162361344,177,4
3.7.2,native-factor1,175,24.156000000000063,47214592,162361344,162361344,177,4
3.7.2,native-factor1,200,27.562999999999988,47214592,162361344,162361344,177,4
3.7.2,native-factor1,225,31.015999999999963,48177152,163328000,163328000,177,4
3.7.2,native-factor1,250,34.452999999999975,48177152,163328000,163328000,177,4
3.7.2,native-factor1,275,37.860000000000014,48177152,163328000,163328000,177,4
3.7.2,native-factor1,300,41.297000000000025,48177152,163328000,163328000,177,4
3.7.2,native-factor1,325,44.702999999999975,48177152,163328000,163328000,177,4
3.7.2,native-factor1,350,48.15600000000006,48177152,163328000,163328000,177,4
3.7.2,native-factor1,375,51.577999999999975,48177152,163328000,163328000,177,4
3.7.2,native-factor1,400,55.01599999999996,48119808,163328000,163328000,177,4
3.7.2,native-factor1,425,58.43799999999999,48119808,163328000,163328000,177,4
3.7.2,native-factor1,450,61.875,48119808,163328000,163328000,177,4
3.7.2,native-factor1,475,65.31299999999999,48119808,163328000,163328000,177,4
3.7.2,native-factor1,500,68.70299999999997,48119808,163328000,163328000,177,4
3.7.2,native-factor1,525,72.14099999999996,48119808,163328000,163328000,177,4
3.7.2,native-factor1,550,75.54700000000003,48119808,163328000,163328000,177,4
3.7.2,native-factor1,575,78.95299999999997,48119808,163328000,163328000,177,4
3.7.2,native-factor1,600,82.375,48119808,163328000,163328000,177,4
3.7.2,native-factor1,625,85.78100000000006,48119808,163328000,163328000,177,4
